phrase,n
ARCTIC WATER POLLUTION PREVENTION ACT NEW DESIGNATIONS SUBMISSION NUMBER ,1
ARCTIC WATERS POLLUTION PREVENTION ACT DESIGNATIONS TO BE REVOKED SUBMISSION NUMBER ,1
ARCTIQUE,1
ARCTIQUE ,1
ÀRËK,1
ARMES ,1
ÁRÒI,1
ARTICLE ,1
ÀŠÅD,1
ÅSÆÅ,1
ASPIN,1
ASSURER LE SUIVI DE ,1
AŠÝŽA,1
ÃTA,1
ATC,1
ÀTC,1
ATKINSON,1
ÃTN,1
ÂTÕ,1
AÚ ,1
ÂÛ ,1
ÀÚ IOAÚJ,1
AÚI,1
ÂÚL,1
AÛM,1
AÚÒ,1
ÅUÓ,1
ÅÙŒÛ,1
ÁÜÒK,1
ÂÚP,1
AUPRÈS DE LA COUR ,1
AUTRES RAPPORTS ET RECOMMANDATIONS ,1
ÂUÛ,1
ÃÙV,1
ÂV ,1
ÃV ,1
ÁVÁ,1
ÅVÆÇ,1
AVERAGE PRICE PER TONNE VALUE GRADE TONNES ,1
AVGD,1
ÃVÖÓ,1
ÃVÚW,1
ÃVX,1
ÂWA,1
AWË,1
AWI,1
ÁWÚ,1
AŸI,1
ÀŸÔ,1
ÁŸŒA,1
ÂÝŠ,1
AÝÚ,1
ÁYZ,1
ÄZÂÁ ,1
ÅZH,1
ÅZV,1
AZÝ,1
ÂZZXI,1
BÂ ÝÅ ,1
BÂA,1
BAÆ,1
BÁD,1
BÃJ,1
BBØ,1
BDC,1
BDDDDDDDTDGÖÂ,1
BÉGIN,1
BENCH OF NEW BRUNSWICK ,1
BENT,1
BERNAS,1
BGÝ,1
BHESANIA,1
BÍÄ,1
BLACKBERRY LIMITED INCOME TAX REMISSION ORDER INTERPRETATION ,1
BLAGDON,1
BLÉ SOLDE NON RÉPARTI AU ,1
BÓ ,1
BÔ ,1
BOISVERT,1
BÓM,1
BOREAL FOREST,1
BOREAL FOREST ,1
BOURDEAU,1
BRADBURY,1
BRAVERY,1
BRAVERY ,1
BRAVOURE,1
BRAVOURE ,1
BRETON,1
BRITANNIQUE,1
BRITISH COLUMBIA,1
BROWN,1
BRUCE,1
BSIF,1
BTF,1
BUDGET IMPLEMENTATION ACT,1
BUÖ,1
BURCH,1
BUSSIERES,1
BYÍ,1
BŽXP,1
ÇÆÅ,1
ÇÆX,1
ÇÅFÓ ,1
CÂL,1
CAMPBELL,1
CANDIDATES FOR CHIEF,1
CANDIDATES FOR COUNCILOR ,1
CANDIDATS AU POSTE DE,1
CANDIDATS AU POSTES DE,1
CANTON GÉOGRAPHIQUE DE GLOUCESTER,1
CAÒ,1
CAPITAL,1
ÇÅVÅ,1
CAW,1
CBA,1
CBA ,1
CBIP,1
CCOFTA,1
CDDDDDDD,1
CDMA,1
CDN,1
ÇË ,1
CEFTA,1
ÇËH,1
ÇÈÜŽ,1
ÇÈW,1
CHAPITRE ,1
CHAPMAN,1
CHARBONNEAU,1
CHAUDHRY,1
CHÄÚÚX,1
CHEF ,1
CHETEURS ADMISSIBLES ,1
CINQ,1
CINQ ,1
CINQUIÈMEMENT,1
CITA,1
CITA ,1
CJFTA,1
ÇKH,1
CM ,1
CMDA,1
CMSF,1
ÇNA,1
CÑÑ,1
COBANLI,1
COCKBURN,1
ÇÔGÞ,1
ÇÖHD,1
COJÚÃK,1
COLE,1
COLOMBIE,1
COLOMNE ,1
COLONNE,1
COLUMN,1
COMING INTO FORCE ,1
COMITÉ DE MISE EN ŒUVRE ,1
COMMENÇANT ,1
COMMENCING ,1
COMMUNITY LOTS ,1
COMPILED PLAN OF FITZGERALD SETTLEMENT,1
COMPOSITION OF THE BOARDS OF DIRECTORS ,1
CONDITIONS VISANT LE QUORUM ,1
CONFÉRÉS DÉCRET BAMBURY,1
CONFÉRÉS MAUNG,1
CONFIDENTIALITÉ ,1
CONFIDENTIALITY ,1
CONSEILLER ,1
CONTAINING AN,1
CONTAINING AN APPROXIMATE AREA OF,1
CONTAINING AN APPROXIMATE AREA OF ,1
CONTINUING REVIEW OF FACTORS SET OUT IN SUBSECTION ,1
CONTRACTUAL TERMS,1
CORNELL,1
CORPORATE PLAN OF THE NATIONAL CAPITAL COMMISSION ,1
COŠ,1
COUNCIL DISCHARGE DATE ,1
COUPE GREY CUP,1
COUPE GREY CUP ,1
COUR DE LA FAMILLE ,1
COUR DU BANC DE LA REINE DE ,1
COUR SUPÉRIEURE DE JUSTICE ,1
COUR SUPRÊME DE ,1
COUR SUPRÊME DE TERRE,1
COUR SUPRÊME DES TERRITOIRES DU NORD,1
COURT ,1
COURT OF APPEAL FOR ONTARIO ,1
COURT OF APPEAL FOR SASKATCHEWAN ,1
COURT OF APPEAL OF THE SUPREME COURT OF NEWFOUNDLAND AND LABRADOR ,1
COURT OF JUSTICE OF NUNAVUT ,1
CÓÞÖÅ,1
CPCN EC,1
CPCN OC,1
CPI,1
CPI ,1
CRAWLEY,1
CRET ACCORDANT UNE DISPENSE AUX AGENTS ,1
CRET DE REMISE ,1
CRET MODIFIANT LE ,1
CREWE,1
CROWN LAND BEING THE BED OF THE FRASER RIVER,1
ÇRPG,1
CRS,1
CSFAR,1
CSFAR ,1
CSIS ,1
CSPAAT,1
CSPAAT ,1
ÇTÅ,1
CTÉÍÌÈÎ,1
ÇTN,1
CTRC ,1
ÇÜE,1
CÜÍ,1
CULL,1
CUNNINGHAM,1
ÇÛÓ,1
CÛÒA,1
CUP,1
CURREN,1
CURRIVAN,1
CUSACK,1
CUTION DES ÉTATS,1
CUTION DU BUDGET DE ,1
CVO,1
CVVM,1
ÇYO,1
CYR,1
CÝÜ,1
ÐA ,1
DAÁ,1
ÐÂA,1
DAÃÍ,1
DAIGLE,1
DALZIEL,1
ÐAÑ,1
DANS TOUTES LES PARCELLES DÉLIMITÉES PLUS HAUT,1
DAÒ,1
ÐÂÒ,1
DAY,1
DCA,1
DCC,1
DCN,1
ÐÇV,1
DDA,1
DDB,1
DDDDDDDD,1
DDDDDDDDD,1
DDDDDDDDDDDDDDDDDDDDD,1
DDDDDDDDDDDDDDDDDDTE ,1
DDDDDDDDDDDÓ,1
DDDDDDDDDDT,1
DDDDDDDDDG,1
DDDDDDDDDV,1
DDDDDDDG,1
DDDDDDEÆ,1
DDDDDDF,1
DDDDDDG,1
DDDDDDI,1
DDDDDFÔ,1
DDDDDGÛQ,1
DDDDDGÞ,1
DDDDDH,1
DDDDH,1
DDDDR,1
DDDI,1
DDDJD,1
DDF,1
ÐDG,1
DDK,1
DDÔ,1
DDTDDJ,1
DDZ,1
DE ,1
ÐÉ ,1
DE CAPITAUX ,1
DE CETTE LOI ,1
DE LA COMMISSION DE LA CAPITALE NATIONALE ,1
DE LA LOI ,1
DE LA LOI SUR ,1
DE LA POLLUTION DES EAUX ARCTIQUES DÉSIGNATIONS ,1
DÈÂ,1
DÉÆ,1
DECEASED,1
DÉCEMBRE ,1
DÉCÈS,1
DÉCRET MODIFIANT LE DÉCRET ,1
DÉCRET NUMÉRO ,1
DEFINITIONS,1
DÉFINITIONS ,1
DEMANDE ,1
DENEAULT,1
DEPARTMENT OF INDIAN AFFAIRS AND NORTHERN DEVELOPMENT ,1
DESCHENES,1
DESCRIPTION DE LA ZONE VISÉE PAR UN PERMIS	 ,1
DESCRIPTION DES TERRES AUXQUELLES RENONCE LE COMMISSAIRE DU NUNAVUT ,1
DESCRIPTION DES TERRES CÉDÉES ,1
DESCRIPTION DES TERRES QUE CÉDERA LA QIKIQTANI INUIT CORPORATION AU GOUVERNEMENT DU CANADA ,1
DESCRIPTION OF LANDS CONVEYED TO THE QIKIQTANI INUIT ASSOCIATION ,1
DESCRIPTION OF LANDS RELINQUISHED BY THE COMMISSIONER OF NUNAVUT ,1
DESCRIPTION OF LANDS TO BE RELINQUISHED BY THE QIKQTANI INUIT CORPORATION TO THE GOVERNMENT OF CANADA ,1
DESIGNATED GILBERT,1
DESIGNATED ORDERS IN COUNCIL BUCHANAN,1
DÉSIGNATIONS COLONNE ,1
DESIGNATIONS COLUMN ,1
DESIGNATIONS TERMINATED NAME POWERS,1
DÉSIGNÉS GILBERT,1
DESJARDINS,1
DEUXIÈMEMENT,1
DFÂ,1
DFAA ,1
DGD,1
DGT,1
ÐÏÆ,1
ÐIMT,1
DION,1
DIRECTIVES FOR ENSURING ,1
DIRECTIVES VISANT ,1
DISPOSITIONS CONTRACTUELLES ,1
DISPUTE RESOLUTION PROCESS DEFINITIONS ,1
DISTRIBUTION,1
DISTRIBUTION ,1
DISTRICT ,1
DIVISION DE PREMIÈRE INSTANCE DE LA COUR SUPRÊME DE,1
DIX DOLLARS ,1
DJLŸ ,1
ÐMÂ,1
ÐMÂ ÉX,1
ÐMË,1
ÐMJ,1
ÐMÓ,1
DNA,1
DND,1
DNGÅ,1
DØ ,1
DØB,1
ÐOD,1
DÖHY,1
DONALD,1
DORAISWAMY,1
ÐÕS,1
ÐÒÛ,1
ÐOWÚÕ,1
DQÔ,1
DQŽ,1
DRÇ,1
ÐRF,1
DROITS DE ,1
DROITS DE LIQUIDIT,1
ÐSÂ,1
DUGUAY,1
DÜIU,1
DUTRUEL,1
DÙUK,1
ÐW ,1
DWÕY ,1
DXÝ ,1
DÝÝ,1
EA ,1
ÉÂ ,1
ÊÁ ,1
ËÁ ,1
ÉÃDÝ,1
ËÆŒ,1
EÃEÛ,1
ÉÆÛ,1
EÆZC,1
EÅG,1
ËAG,1
ÉÄÌ,1
ÈÀÌÁË,1
ËÃÑ,1
ÉÁP,1
ÉÂS,1
EASSON,1
ÉB ,1
ÉBE,1
ÉCÂ,1
ÈÇA,1
ËÇÅ,1
ÉCD,1
ÉCE,1
ËÇË,1
ÈÇL,1
ÉCÑ,1
ÉCÒ,1
ÈÇTÈ,1
EÇÚÓ,1
ÊÐÕ,1
ÊEÅ,1
EG ,1
ÈG ,1
ÉGARD DES PAYS DÉSIGNÉS EN VERTU DE ,1
EIGHTHLY ,1
ÉÌÑ,1
ÊJÅ,1
ÊJØKN,1
ÈJWÕ,1
EKÐ,1
ËLÈ,1
ELISABETH II,1
EMENEAU,1
EMERGENCY FINANCIAL ASSISTANCE ORDER NO,1
ËMÖ,1
EÑ ,1
ENERGY ,1
ENGLISH,1
ENSALA,1
ENTRÉE EN VIGUEUR ,1
ENTREPRISE DE ,1
EŒÃ ,1
EÒQ,1
ÊPF,1
ËPMA,1
ÉPŒK,1
ÈQÓ,1
ËQÒÉ,1
ERAP,1
ÉRKZW,1
ÈRQÈ,1
ESLC,1
ESLT   ,1
ET SE TERMINERA LE ,1
ÉTABLISSEMENT FITZGERALD,1
ÉTAT DES INDEMNITÉS ,1
ËTI,1
ÈTN,1
ÊTRE ABROGÉES PRÉSENTATION NUMÉRO ,1
ÊTRE ABROGÉES SUBMISSION NUMBER ,1
ÉTUDES DU MILLÉNAIRE CONFORMÉMENT AU PARAGRAPHE ,1
ÉTUDIANTS ,1
EÙC,1
ÊÙDDD,1
ÉÛE,1
ÈÜL,1
ËUS,1
ËWD,1
EXAMEN ,1
EXAMEN DES FACTEURS PRÉVUS AU PARAGRAPHE ,1
EXAMEN ET DE RAPPORT ,1
EXCEPTION ,1
EXCLUSION,1
EXJÂ,1
EXPEDITION,1
EXPLANATORY,1
ÈÝP,1
EÝÚ,1
EÝŽJÚ,1
ÊZ ,1
EŽÂ,1
ÉŽF,1
ÈŽQ,1
ÈŽÚ,1
ÈŽÚÚ,1
ÉŽX,1
ËŽX,1
ÈÞG,1
ÉÞH,1
FÅD,1
FAMILY COURT ,1
FAMILY DIVISION,1
FBCL ,1
FÐM,1
FÉDÉRALE ,1
FEE,1
FERGUS,1
FEU PAR VOIE MARITIME,1
FÉVRIER ,1
FFT ,1
FIN DES DÉSIGNATIONS NAME POWERS VESTED ORDER IN COUNCIL NOM POUVOIRS CONFÉRÉS DÉCRET ASKHAM,1
FIN DES DÉSIGNATIONS NAME POWERS VESTED ORDER IN COUNCIL NOM POUVOIRS CONFÉRÉS DÉCRET BROCK,1
FIN DES DÉSIGNATIONS NAME POWERS VESTED ORDER IN COUNCIL NOM POUVOIRS CONFÉRÉS DÉCRET CONSTABLE,1
FIN DES DÉSIGNATIONS NOM POUVOIRS,1
FINANCIAL IMPACT ON HER MAJESTY IN RIGHT OF CANADA ,1
FINANCIÈRE ,1
FINANCING ARRANGEMENTS ,1
FJAÇC,1
FMÅTK,1
FMÔ,1
FØÂÂ,1
FÒË,1
FŒÕ,1
FOISY,1
FORCE ,1
FORÊT BORÉALE,1
FORÊT BORÉALE ,1
FORMERLY IN,1
FORMERLY IN THE CITY OF,1
FORMERLY IN THE CITY OF NEPEAN,1
FOSTER,1
FOURNIER,1
FRATTIN,1
FREAKE,1
FRONTING DISTRICT LOTS ,1
FŠT,1
FST ,1
FÚL ,1
FXV,1
FYB,1
GA ,1
GÆÃ,1
GALIAY,1
GARIÉPY,1
GARROWAY,1
GASCON,1
GATS ,1
GAUVIN,1
GB ,1
GÐBÏ,1
GÈÆ,1
GENERAL PRINCIPLES ,1
GEOGRAPHIC,1
GEOGRAPHIC TOWNSHIP OF GLOUCESTER,1
GEOGRAPHIC TOWNSHIP OF NEPEAN,1
GEÚ,1
GHUMAN,1
GÌ ,1
GIBBONS,1
GIGUERE,1
GILL,1
GILMORE,1
GÌÑ,1
GIRARD,1
GJÈ,1
GL ,1
GLDDDDFÒŠ,1
GLEMENT MODIFIANT LE ,1
GLEMENT SUR LA COMMISSION CANADIENNE DU BL,1
GMES,1
GMT ,1
GNWT ,1
GNÞ,1
GÓ ,1
GOCO ,1
GÒË,1
GOODMAN,1
GOPAC,1
GOPAC ,1
GÒT,1
GOUGEON,1
GRÁ,1
GRAVEL,1
GREEN,1
GROUP,1
GRUBSKI,1
GSC,1
GTF,1
GTNO ,1
GUERTIN,1
GULATI,1
GÛLŒ,1
GUTT,1
GŽX,1
HÄÄ,1
HAIGH,1
HALL,1
HARDY,1
HARE,1
HARNEY,1
HART,1
HARVEY,1
HASWELL,1
HATCHER,1
HDÀ,1
HËH,1
HER EXCELLENCY THE GOVERNOR GENERAL IN COUNCIL,1
HG ,1
HGÇ,1
HILL,1
HMCS HALIFAX ,1
HMS SHANNON,1
HMS SHANNON ,1
HÒÐ,1
HOLLAND,1
HORBAS,1
HOWELL,1
HUBERT,1
HÜH,1
HUITIÈMEMENT ,1
HYNES,1
HŽF,1
ÌÂÁ,1
IÅD,1
IÃDÝ,1
ÌÆD,1
ÍÆH,1
ÍÄH,1
IÅÍ ,1
ÌÅJ ,1
IANIEV,1
ÎÂŒ,1
IÁU,1
ÏAŸ,1
IBÂ,1
ICD,1
ICP,1
ÏCŠ,1
IÐA,1
IÐC ,1
IÐMÁ,1
IÐMÂ,1
ÌEÏ,1
ÌÈÑ,1
IGEE ,1
ÌÍÂ,1
ÎÍÄ,1
ÌÌÒ,1
ÎÏŠ,1
IL EST ORDONNÉ QUE ,1
IL ÉTAIT INCAPABLE ,1
IMMIGRATION ET LA PROTECTION DES RÉFUGIÉS ,1
IMP,1
IMPLEMENTATION PANEL ,1
ÍN ,1
IN ALL PARTS DESCRIBED ABOVE ,1
INCO,1
INCO ,1
INITIAL PAYMENTS FOR THE POOL PERIOD COMMENCING ON AUGUST ,1
IÖÂ,1
ÌØA,1
IŒÏ,1
ÎŒÕŒ,1
ÍÓÌ,1
IÓM,1
IONESCU,1
IÖÕ,1
ÎÕŒ,1
ÎÕQ,1
IÖÛK,1
IPC,1
IPC ,1
ÌPDJÁ,1
IPTV,1
IQÔ,1
IRANI,1
IRC,1
IRC ,1
IŠÂ,1
ÍSD,1
ÏŠN,1
ÍSU,1
IT IS ORDERED THAT ,1
IU ,1
ÌÜÎ,1
IÛJ,1
IÜŠ,1
IXA,1
ÎXD,1
ÍXQ,1
ÍŸ ,1
ÏÝW,1
IŽÒÕ,1
IZÚO,1
ÍÞC,1
JAHANI,1
JÈÀ,1
JMX,1
JÑN,1
JÖÂPÖ,1
JÖÐZ,1
JOHAR,1
JÓP,1
JÒVÂ,1
JT ,1
JU ,1
JÚ ,1
KÆH,1
KAMAL,1
KÐÔ,1
KÉ ,1
KEHOE,1
KËVK,1
KHX,1
KHŸ,1
KILFOY,1
KINGWELL,1
KIRBY,1
KKÑ,1
KLAMER,1
KNÚ,1
KŒ ,1
KŒÐS,1
KÕÑ,1
KOO,1
KÖÒI,1
KÒÒU,1
KORONKIEWICZ,1
KPMG ,1
KQÅ,1
KRÖ,1
KŠÃ,1
KWIS KI MAHKA ,1
KWIS KI MAHKA INDIAN RESERVE ,1
KÝS,1
KÞÒ,1
KÞY ,1
LA ,1
LA GENDARMERIE ROYALE DU CANADA PROMOTION ,1
LA PÉRIODE DE MISE EN COMMUN QUI ,1
LA PRÉVENTION,1
LA QIKIQTANI INUIT ASSOCIATION ,1
LACHANCE,1
LAFRANCE,1
LALIBERTÉ,1
LANGELIER,1
LÅÒ,1
LATULIPPE,1
LAURENT,1
LAVENDER,1
LAVOIE,1
LBÜ,1
LBÝŠY ,1
LCÉE,1
LCÉE ,1
LÐŠ,1
LDS ,1
LEBARS,1
LEBLANC,1
LEGHFIRI,1
LEGHIFIRI,1
LES MOTS,1
LIGIBLE PURCHASERS ,1
LIMITATIONS ON AUTHORITY ,1
LIMITES DU MANDAT ,1
LIQUIDITY RIGHTS ,1
LIST OF MINISTERS TO ACT FOR THE PRIME MINISTER IN HIS ABSENCE OR IN THE EVENT OF HIS BEING UNABLE TO PERFORM THE FUNCTIONS OF HIS OFFICE ,1
LIT,1
LL ,1
LNP ,1
LÓ ,1
LŒÒ,1
LOI SUR,1
LOI SUR LA PRÉVENTION DE LA,1
LOI SUR LA PRÉVENTION DE LA POLLUTION DES EAUX ARCTIQUES DESIGNATIONS TO BE REVOKED ,1
LOI SUR LA PRÉVENTION DE LA POLLUTION DES EAUX ARCTIQUES NEW DESIGNATIONS ,1
LORIMER,1
LOTS ,1
LOTS COMMUNAUTAIRES ,1
LÔÜ,1
LSÅ,1
LSÇ,1
LSD ,1
LTT,1
LTU,1
LUÅ,1
LUCE,1
LVÅ,1
LVÃ,1
LWÆÅ,1
LWÈ,1
LWÞ,1
LYNCH,1
LŽÂ,1
MAAN,1
MACCAULL,1
MACDONALD ,1
MACIOROWSKI,1
MACKEY,1
MACLEAN,1
MACPHEE,1
MACRAE,1
MÅI,1
MALONEY,1
MARCHAND,1
MARINE TRANSPORTATION OF FIREARMS,1
MARTIN,1
MATHUR,1
MÅU,1
MÃY ,1
MB ,1
MCCARTHY,1
MCDEVITT,1
MCGILLIVRAY,1
MCGINNIS,1
MCGIRR,1
MCINDOE,1
MÉÄ,1
MEDIATION ,1
MÉDIATION ,1
MEEG,1
MEISNER,1
MEMBERS RANK ,1
MEMBRES GRADE ,1
MÊÔ,1
MG ,1
MÍG,1
MILLAR,1
MILLEN,1
MILLER,1
MILNE,1
MINISTÈRE DES AFFAIRES INDIENNES ET DU NORD CANADIEN ,1
MINUEE,1
MINUSS,1
MINUTE OF THE PRIVY COUNCIL ,1
MISE EN COMMUN ,1
MÍU,1
MÍW,1
MMÂ,1
MÔC,1
MODIFICATION ,1
MÒN,1
MÓO,1
MORFORD,1
MORRIS,1
MOSHER,1
MOST,1
MSË,1
MTTR,1
MUIR,1
MUNICIPALITÉS DE LA NOUVELLE,1
MUNICIPALITÉS DE LA SASKATCHEWAN ,1
MUNICIPALITÉS DU MANITOBA ,1
MUNICIPALITÉS DU NOUVEAU,1
MUNICIPALITIES OF ALBERTA ,1
MUNICIPALITIES OF MANITOBA ,1
MUNICIPALITIES OF NEW BRUNSWICK ,1
MUNICIPALITIES OF NOVA SCOTIA ,1
MUNICIPALITIES OF PRINCE EDWARD ISLAND ,1
MUNICIPALITIES OF SASKATCHEWAN ,1
MUU ,1
MÚV,1
MÚX,1
MWM,1
MYRA,1
ÑÆW,1
NAME POWERS,1
NAME POWERS VESTED NOM POUVOIRS CONFÉRÉS ARNOLD,1
NAME POWERS VESTED NOM POUVOIRS CONFÉRÉS ARSENAULT,1
NAME POWERS VESTED NOM POUVOIRS CONFÉRÉS BEAUDOIN,1
NAME POWERS VESTED NOM POUVOIRS CONFÉRÉS BEESLEY,1
NÁÓ,1
NÂÙÜ,1
NCSM HALIFAX,1
ÑÐÄ,1
NELSON,1
NEW,1
NEW BRUNSWICK,1
NEW WESTMINSTER,1
NGL,1
NGL ,1
NIP ,1
ÑÌÞ,1
NŒ ,1
NÓK,1
NOM POSITION TITLE ,1
NOM POUVOIRS,1
NOMINATIONS ,1
NOMS	 POUVOIRS CONFÉRÉS BEAUDOIN,1
NOMS	 POUVOIRS CONFÉRÉS BRAHIMI,1
NOMS	 POUVOIRS DÉSIGNÉS PAWAR,1
NOMS POUVOIRS,1
NOMS POUVOIRS DÉSIGNÉS DÉCRET BUCHANAN,1
NÓN,1
NÖN,1
NÖÖ,1
NÓOO,1
NORRIS,1
NORTHWEST TERRITORIES ,1
NOTE ,1
NOUVEAU,1
NOVA SCOTIA COURT OF APPEAL ,1
NÓW,1
NOW IN,1
NQË ,1
NŠE,1
NTENTE DE SERVICES TECHNIQUES ,1
ÑÙS,1
NWEST,1
NY ,1
NŸÝ,1
ÓA ,1
ÖÃ ,1
ØA ,1
ÔÃ ÓË,1
ÓAÅ,1
ÓAÄ,1
ÖÄÃÓ,1
OÆÅ,1
ÒÂÉÃD,1
OÆX,1
ÖÂM,1
ÓAØA,1
OATHS IN THE FEDERAL COURT OF APPEAL AND THE FEDERAL,1
OAÚ,1
ÖÂÛ,1
ÒAÚÔ,1
OAW,1
ØAXX,1
ØBÓÂ,1
ÓC ,1
ÖCÊ,1
ØCÞ,1
ÔÐ ,1
ÔÐÆXN,1
ÔDDDM,1
ØDG,1
ÔÐÌ,1
ÒÐM,1
ÓDÛÖ,1
ÓDÝ,1
ØÐŽ,1
ÒË ,1
ÕÉÃ,1
ŒÆF ,1
ÖÈAÛ ,1
ÖÈÇ,1
ŒDDDDDDDH,1
ŒDDDR,1
ŒÐR,1
ŒIL,1
ŒÌN,1
ŒKAÔ,1
ŒKW,1
ŒÙE,1
ŒÙÔ,1
OF ELECTION ,1
OF THAT ACT ,1
OF THE IMMIGRATION AND REFUGEE PROTECTION ACT WITH RESPECT TO COUNTRIES DESIGNATED UNDER PARAGRAPH ,1
OF WAY PLAN OVER ,1
OFFICER ORDER IN COUNCIL RESIGNATION DATE ,1
OFFICIER DÉCRET DATE DE DÉMISSION ,1
OFFICIER DÉCRET DATE DE RENVOI ,1
ÔFÔ,1
ÕFY,1
ÓHB,1
ÖHDR,1
ØHÉ,1
ÕHÝ,1
ØHŽ,1
ÒÍC,1
ÕÍR,1
ØJÂÃ ,1
ØJI,1
OJÖ,1
ØJÒ,1
ØJÛ ,1
ÒJÛI,1
ÕKÅ,1
ØKÂ,1
ØKÉ,1
ÓKRÜ,1
ÒLSÅ,1
ÓLŽ,1
ØLŽ,1
OMÂ,1
ÒMÂ,1
ØMA,1
ÖMÊ,1
ÓMP,1
OMPOSITION DES CONSEILS ,1
OMS,1
OMSM,1
ØMU,1
ØMŽ,1
ØNA,1
ONAÅÖ,1
OND,1
ONE MILLION TWO HUNDRED THIRTEEN THOUSAND SIX HUNDRED AND NINETY,1
ÒÑK,1
ÒNÒ,1
ØNÒ,1
ÖNÚ SÓÑ,1
ONZŠ,1
OO ,1
ÓÓ ,1
ÔÔ ,1
ÓÓÂ,1
ÔOÁ,1
ÔÕÂ,1
ÖÔÃ,1
ÖÖÂ,1
ÖÔB,1
ØÒÇ,1
ÓÓÐ,1
ÓODÇ,1
ÒÒH,1
OOM,1
ÓOM,1
OOMÓ,1
ÓÓMÓ,1
OON,1
OÒO,1
ÓÕÓ,1
ÒÒÒ,1
ÒÖÖ,1
ÖÖÒ,1
ÕÕÒ,1
ÓÓÓÂ,1
ÓÓÓI,1
ÓÓOM,1
ÖÕÖÕ,1
OOÓŽ,1
ÓÒTAÇA,1
ÖOÛ,1
ØOÛ,1
OOWNYÍ,1
ÖÓX,1
ÖÖŸ,1
ÒÓYÇW,1
OOZ,1
ÒÖÞ,1
ÓQIG,1
ÓRC,1
ÓRÇL,1
ORDER AMENDING PROVINCIAL EMERGENCY FINANCIAL ASSISTANCE ORDER NO,1
ORDER AMENDING THE UNITED STATES ENFORCEMENT OFFICERS EXEMPTION ORDER ,1
ORDONNANCE MODIFICATRICE AO,1
ÕSÂ,1
ÖŠE,1
OSFI,1
ØŠLŽ,1
ÕŠØ,1
ÕT ,1
OTÂ,1
ÓTÂ,1
OTA   ,1
ÓTÈA,1
OTHER REPORTS AND RECOMMENDATIONS ,1
ØTÎDÝB,1
ÓTN,1
OTÕ,1
ØTÙ,1
ÓUA,1
ØUC,1
OUELLET,1
ÖÛJV,1
ÒÛK,1
OÚM,1
ÓUMA,1
ÓUÖ,1
ÔÜÚÚ,1
ÕUVMÂ,1
ÕUWO,1
ØUX,1
ÓVÂ ,1
OVER ,1
ÖVIS,1
ÒVÒ,1
ÒVÕ,1
ØVÒ,1
ØVÖ,1
ØVÖV,1
ÖXÒ,1
OXÝ,1
ÔYÁ,1
ÓŸØ,1
ÖÝSIUÓ,1
ÔÝY,1
ÓZMF,1
ÖZO,1
OŽŸ,1
OŽÝD,1
OZZM,1
ÖZÞ,1
PADDON,1
PÃLŠ,1
PÂØS,1
PAPILLON,1
PAR TONNE GRADE ,1
PARKS CANADA PARCS CANADA,1
PARKS CANADA PARCS CANADA ,1
PART III,1
PART IV,1
PARTIE III,1
PARTIE IV,1
PASRICHA,1
PÂV,1
PÂY,1
PÂZ,1
PD ,1
PÐC,1
PEBC,1
PECKHAM,1
PEDRO,1
PEÌ,1
PELLETIER,1
PENNELL,1
PER TONNE GRADE ,1
PERIOD,1
PERIOD OF INQUIRY AND REPORT ,1
PERMIT AREA DESCRIPTION ,1
PERSONNEL ,1
PERSONNEL ET SOUTIEN ,1
PERSONNES COUVERTES ,1
PERSONS COVERED,1
PES ,1
PETTIPAS,1
PÌÂ,1
PIERRE,1
PIPSC,1
PIPSC ,1
PIU ,1
PK ,1
PLAN ,1
PLI,1
PLÌŒ,1
PME ,1
PMÓDÚ,1
POLLUTION DES EAUX ARCTIQUES NOUVELLES DÉSIGNATIONS PRÉSENTATION NUMÉRO ,1
PØØ,1
POOL ,1
PORTION OF UNSURVEYED,1
PORTION OF UNSURVEYED CROWN LAND BEING,1
POSTE ,1
POUR CES MOTIFS,1
POUVOIRS CONFÉRÉS	 DÉCRET BOWLER,1
POUVOIRS CONFÉRÉS	 DÉCRET BROWN,1
POUVOIRS DÉSIGNÉS	 DÉCRET PARRY,1
PRINCIPES GÉNÉRAUX ,1
PRIX MOYEN PAR TONNE VALEUR GRADE TONNES ,1
PROCÉDURES ,1
PROCESSUS DE RÈGLEMENT DES DIFFÉRENDS DÉFINITIONS ,1
PROMOTION SCHEDULE ROYAL CANADIAN MOUNTED POLICE ACT PROMOTION COLUMN ,1
PROVINCE DU MANITOBA ,1
PROVINCE OF ALBERTA,1
PROVINCE OF ALBERTA ,1
PROVINCE OF MANITOBA ,1
PROVINCE OF ONTARIO,1
PROVINCE OF ONTARIO ,1
PROVINCIAL EMERGENCY FINANCIAL ASSISTANCE ORDER ,1
PROVINCIALE ,1
PS ,1
PTCE,1
PÜŒ ,1
PWGSC,1
PŸÞÕ,1
QÂŒGÂ,1
QDDC ,1
QEDDDDDD,1
QLÖ,1
QLSÅ,1
QLTS,1
QPÁ,1
QS ,1
QUEBEC,1
QUÉBEC,1
QUÖ,1
QVÄS ,1
QZQ,1
RADEMARK AGREEMENT ,1
RAJASINGHAM,1
RAL,1
RAŠ,1
RAWAT,1
RBÛ ,1
RÇA,1
RCÑ,1
REDDICK,1
RÈGLEMENT ABROGEANT LE RÈGLEMENT INTITULÉ ,1
