phrase,n
SOFTWOOD LUMBER PRODUCTS EXPORT CHARGE REDUCTION ORDER,3
SOFTWOOD LUMBER PRODUCTS EXPORT PERMITS FEES,3
SOLICITOR GENERAL OF CANADA,3
SOMALIA,3
SOMERS,3
SOMERS ,3
SOPHIE PIERRE ,3
SOUCIE,3
SOUSA,3
SOUTHERN RAILS COOPERATIVE LTD,3
SOUTHIN ,3
SPAIN,3
SPECIAL ALLOWANCE REGULATIONS ,3
SPECIFIC CLAIM SETTLEMENT AGREEMENT ,3
SPRING CREDIT ADVANCE PROGRAM,3
SRM ,3
STACH,3
STAN BRACKEN,3
STAN COOK ,3
STANDARDS ,3
STANFORD,3
STANLEY DAVID NEWMAN,3
STANLEY SADINSKY,3
STANTON ,3
STANWICK ,3
STATISTICAL SURVEY OPERATIONS ,3
STATISTICS CANADA CENSUS,3
STATUS INDIANS ,3
STCW ,3
STEELE,3
STEPHAN ,3
STÉPHANE HANDFIELD,3
STEPHANIE ,3
STEPHEN KELLEHER,3
STEPHEN MILLAR ,3
STEVE SIMPSON ,3
STEVEN KENT ,3
STEVEN LEWIS,3
STEVEN PETER LUCAS HOWARTH ,3
STEVENSON ,3
STOFFMAN,3
STONE ,3
STONEMAN ,3
STOW,3
STOWE,3
STRATHY ,3
STREAMLINED ACCOUNTING ,3
STRENGTHENING CANADIAN CITIZENSHIP ACT,3
STRICKLAND ,3
STUBBS,3
SUBHAS RAMCHARAN,3
SULATYCKY,3
SUMMERS,3
SUPPLEMENTARY,3
SUPPORT ORDERS AND SUPPORT PROVISIONS ,3
SUPREME COURT OF BRITISH COLUMBIA,3
SUPREME COURT OF THE NORTHWEST TERRITORIES,3
SUSAN KITCHENER,3
SUSHEEL GUPTA ,3
SUSTAINING CANADA,3
SUWET,3
SUZANNE LAMARRE ,3
SUZANNE MIREAULT,3
SWAN RIVER FIRST NATION BAND,3
SWEENEY ,3
SWISS CONFEDERATION ,3
SWITSEMALPH INDIAN RESERVE ,3
SWITZERLAND,3
SYLVAIN LAPORTE ,3
SYLVIA ROY ,3
SYLVIE LÉVESQUE,3
SYLVIE TESSIER ,3
TAGGART,3
TAKIS PAPPAS ,3
TANYA LENNSTROM,3
TARTAGLIA ,3
TAX COURT OF CANADA ACT ,3
TAX COURT OF CANADA RULES OF,3
TAX COURT OF CANADA RULES OF PROCEDURE RESPECTING THE,3
TAX REBATE DISCOUNTING REGULATIONS ,3
TAXES,3
TAXES ON INCOME AND CAPITAL GAINS,3
TAXES ON INCOME AND ON,3
TAYEB MÉRIDJI,3
TDG ,3
TEDSTONE ,3
TEMPORARY DOMESTIC POWERS ,3
TEMPORARY IMPORTATION REGULATIONS ,3
TERESA ,3
TERESA DIANE JAENEN ,3
TERMS ,3
TERRANCE PAUL ,3
TERRENCE FREDERICK BANNON ,3
TERRI ,3
TERRITORY,3
TERRY GEDDES ,3
TERUYUKI AKEMA ,3
TESLIN TLINGIT COUNCIL SELF,3
TÉTREAULT,3
TH COUNCIL OF THE YUKON TERRITORY ,3
THAILAND ,3
THE CANADIAN WHEAT BOARD,3
THE FEDERAL BRIDGE CORPORATION LIMITED,3
THE GOLDMAN SACHS GROUP,3
THE GREAT LAKES PILOTAGE AUTHORITY,3
THE HONOURABLE ,3
THE INCOME TAX REGULATIONS ,3
THE LAURENTIAN PILOTAGE AUTHORITY,3
THE MILLENNIUM,3
THE NORFOLK FRUIT GROWERS,3
THE ORDER OF CANADA,3
THE PACIFIC PILOTAGE AUTHORITY,3
THE PRIVACY ACT ,3
THE PROFESSIONAL INSTITUTE OF THE PUBLIC SERVICE,3
THE PROMOTION AND PROTECTION OF INVESTMENTS ,3
THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS,3
THÉRIAULT,3
THIBAULT ,3
THIMM ,3
THOMAS ANTHONY BRZUSTOWSKI,3
THOMAS JENKINS ,3
THORNE,3
TILLEY CO,3
TIMOTHY SARGENT ,3
TIMS ,3
TINKER ,3
TO DECLINE TO VARY,3
TO THE ACCESS TO INFORMATION ACT,3
TO THE CANADIAN,3
TO THE RANK OF DEPUTY COMMISSIONER,3
TOBAGO,3
TOBIN,3
TODD ,3
TOM PERLMUTTER ,3
TOMASSO ,3
TONY SHERIDAN,3
TOPPING,3
TOWNSHEND,3
TRACY MEDVE ,3
TRADE AGREEMENT,3
TRADE MARKS REGULATIONS ,3
TRAFFIC ON THE LAND SIDE OF AIRPORTS REGULATIONS ,3
TRAINOR,3
TRANSCANADA KEYSTONE PIPELINE GP LTD,3
TRANSPORT PACKAGING OF RADIOACTIVE MATERIALS REGULATIONS,3
TRANSPORTATION AGENCY ,3
TRANSPORTATION OF DANGEROUS GOODS REGULATIONS,3
TRANSPORTATION OF GOODS REGULATIONS ,3
TRATCH ,3
TREATY NO,3
TREATY ON MUTUAL,3
TREATY ON THE TRANSFER OF OFFENDERS ,3
TREE FRUITS LTD,3
TREVOR ,3
TRINIDAD ,3
TRINIDAD AND TOBAGO,3
TROY ATKINSON ,3
TRUDEAU ,3
TRUDY KERNIGHAN ,3
TSARTLIP BAND ,3
TSD ,3
TSINSTIKEPTUM INDIAN RESERVE NO,3
TSUNEO FUJITA ,3
TUKTUT NOGAIT NATIONAL PARK,3
TUNG CHAN ,3
TURNER,3
TURNER ,3
TUTU,3
UDE NILINE TU,3
UDHAM ,3
UKKUSIKSALIK NATIONAL PARK,3
UNAMID,3
UNDELIVERABLE AND REDIRECTED MAIL REGULATIONS,3
UNEMPLOYMENT INSURANCE ACT,3
UNITED ARAB EMIRATES ,3
UNITED KINGDOM OF GREAT BRITAIN ,3
UNITED NATIONS ANGOLA REGULATIONS ,3
UNITED NATIONS CONVENTION ,3
UNITED NATIONS IRAQ REGULATIONS,3
UNITED REPUBLIC OF TANZANIA ,3
UNIVERSAL POSTAL UNION ,3
URANIUM AND THORIUM MINING REGULATIONS ,3
USER,3
VALCOUR ,3
VALERIE ANNE HAZLETT PARKER ,3
VALERIE JOAN SANDALL ,3
VALLEYFIELD,3
VAN DE WALLE,3
VAN DOREN,3
VANCISE,3
VANDENBERG,3
VEHICLE,3
VENEZUELA ,3
VERN ,3
VERNA BRUCE,3
VERNON ,3
VESSEL OPERATION RESTRICTION REGULATIONS ,3
VHF ,3
VI AND VII,3
VIA RAIL ,3
VIA RAIL CANADA ,3
VICTOR MARCHAND,3
VICTOR MARCHAND ,3
VIDRICAIRE ,3
VIKRAM KHURANA ,3
VILLERS,3
VINCENT CLYDE CARRUTHERS ,3
VIRGINIA LEE SAUNDERS ,3
VIRTUE,3
VLADIMIR BUBRIN,3
VOC,3
VOCATIONAL REHABILITATION OF DISABLED PERSONS ,3
VOHORA,3
VOLUNTARY RETIREMENT,3
WAH WONG,3
WALLIS KEMPO,3
WALMSLEY,3
WALT LASTEWKA,3
WAR RISK LIABILITY INSURANCE COVERAGE ,3
WARREN EDMONDSON ,3
WARREN ELLIS,3
WATTS,3
WAYS AND MEANS MOTION REMISSION ORDER,3
WEBB ,3
WEEKES ,3
WEERDT,3
WEERDT ,3
WELDON NEWTON,3
WELFARE,3
WENDY ANNE TADROS,3
WENDY ANNE TADROS ,3
WENDY LEE KELLY,3
WENDY MAE ,3
WESLEY WADE MARSDEN,3
WEST,3
WEST ASIA ,3
WESTBANK,3
WESTBANK FIRST NATION ,3
WESTCOAST GAS SERVICES INC,3
WESTERN GAS MARKETING LIMITED,3
WESTERN GRAIN RESEARCH FOUNDATION ,3
WET,3
WHITECAP DAKOTA FIRST NATION ,3
WHITEFISH LAKE BAND,3
WHITTAKER,3
WIDE,3
WIDE STANDARDS FOR DIOXINS AND FURANS,3
WIEBE,3
WILDLIFE HABITAT CANADA,3
WILDLIFE HABITAT CANADA ,3
WILDS ,3
WILLCOX ,3
WILLIAM BENOS ,3
WILLIAM FREDERICK ,3
WILLIAM FREDERICK KERR TUFNELL,3
WILLIAM GRAHAM,3
WILLIAM JAMES GLOVER ,3
WILLIAM LINDEMERE DAY ,3
WILLIAM MALENFANT,3
WILLIAM ROBERT YOUNG ,3
WILLIAM THOMAS CLARKE ,3
WILLIAMSON ,3
WILMA VREESWIJK ,3
WINKLER ,3
WITCHEKAN LAKE BAND ,3
WITHDRAW,3
WITHDRAWAL FROM DISPOSAL OF CERTAIN TRACTS OF TERRITORIAL LANDS IN THE THE NORTHWEST TERRITORIES ,3
WITTMANN ,3
WOODSTOCK BAND ,3
WORKING FOR THE LAND,3
WORLD RADIOCOMMUNICATION CONFERENCE ,3
WRECK DISTRICTS AND RECEIVERS OF WRECKS ORDER ,3
WYNNYCKYJ ,3
XIII,3
XIII ,3
XIV,3
XVI,3
XXI ,3
XXIV,3
XXIX ,3
YARD,3
YASSINI ,3
YAZMINE LAROCHE ,3
YILMA MAKONNEN ,3
YOUTH MOBILITY,3
YUGOSLAVIA ,3
YUKON TERRITORY FISHERY REGULATIONS,3
YUKON TIMBER REGULATIONS ,3
YVAN ROY ,3
YVES,3
YVES BOULANGER ,3
YVES BRISSETTE ,3
YVES BRODEUR ,3
YVES CARON,3
YVES COUILLARD,3
YVES DESJARDINS,3
YVES DUPRAS ,3
YVES MORIN,3
YVON ,3
YVON BUREAU ,3
YVON VANASSE,3
YVONNE ,3
ZULIE SACHEDINA,3
AAIR,2
ABAMECTIN,2
ABBOTSFORD,2
ABIDJAN,2
ABINA DANN ,2
ABORIGINAL AFFAIRS SECRETARIAT,2
ABRAHAM KLASSEN ,2
ABRAHAM MANDEL,2
ABSOLUTE SURRENDER,2
ABSOLUTE SURRENDER ,2
ACCESSORIES,2
ACCOUNTING FOR IMPORTED GOODS AND PAYMENT OF,2
ACCOUNTING REGULATIONS ,2
ACEPHATE,2
ACORN ,2
ACOUSTICAL PRODUCTS ,2
ACQUIRE TITLE ,2
ACTON ,2
ACTS ,2
ADAMS LAKE ,2
ADDED TAX SYSTEM REGULATIONS,2
ADEL ,2
ADELLE FRUMAN,2
ADHOPIA ,2
ADMINISTERED AND ENFORCED BY THE CANADIAN FOOD INSPECTION AGENCY,2
ADMINISTRATION AGREEMENT ,2
ADMINISTRATION DE PILOTAGE DES LAURENTIDES,2
ADMINISTRATIVE AGREEMENTS ,2
ADMINISTRATIVE SERVICES ,2
ADMINISTRATIVE SERVICES GROUP,2
ADOLPHE ,2
ADRIAN MEASNER ,2
ADRIEN ,2
AEC ,2
AEC SUFFIELD GAS PIPELINE,2
AEEHDACHO ,2
AERONAUTICS ACT,2
AFCCL,2
AFCCL ,2
AGNÈS ,2
AGNES POTTS,2
AGNES UGOLINI POTTS ,2
AGREEMENT CONCERNING THE EXCHANGE OF STATISTICAL INFORMATION ,2
AGREEMENT ESTABLISHING THE,2
AGREEMENT ESTABLISHING THE INTER,2
AGREEMENT FOR CANADA ,2
AGREEMENT FOR COOPERATION IN ENERGY SCIENCE AND TECHNOLOGY ,2
AGREEMENT ON AIRWORTHINESS ,2
AGREEMENT ON AUDIO,2
AGREEMENT ON CANADA,2
AGREEMENT ON COOPERATION IN,2
AGREEMENT ON COOPERATION ON MARINE OIL POLLUTION PREPAREDNESS AND RESPONSE IN THE ARCTIC,2
AGREEMENT ON ECONOMIC COOPERATION ,2
AGREEMENT ON ENVIRONMENTAL COOPERATION ,2
AGREEMENT ON GOVERNMENT PROCUREMENT,2
AGREEMENT ON MARKET DEVELOPMENT ,2
AGREEMENT PROVIDING FOR,2
AGREEMENT REGARDING THE SHARING OF FORFEITED OR CONFISCATED ASSETS OR THEIR EQUIVALENT SUMS ,2
AGREEMENT TO AMEND THE FREE TRADE AGREEMENT ,2
AGREEMENT WITH RESPECT TO THE ADMINISTRATION BY QUEBEC OF PART IX OF THE EXCISE TAX ACT RELATING TO THE GOODS AND SERVICES TAX ,2
AGREEMENTS,2
AGRICULTURAL,2
AGRICULTURAL INCOME,2
AGRICULTURAL INCOME DISASTER ASSISTANCE,2
AGRICULTURAL INCOME DISASTER ASSISTANCE PROGRAM ,2
AGRICULTURAL STABILIZATION BOARD ,2
AGRICULTURE AND FISHING PROPERTY ,2
AHMED,2
AHMED GALAL ,2
AHMED KHAIRY ,2
AHT FIRST NATION,2
AIDAN BERNARD BERESFORD,2
AIG ,2
AIMABLE NDEJURU,2
AIMÉ,2
AIR INDIA FLIGHT ,2
AIRCRAFT EQUIPMENT,2
AIRCRAFT MARKING AND REGISTRATION REGULATIONS ,2
AIRPORT ,2
AIRWORTHINESS ,2
AISHIHIK FIRST NATIONS,2
AJIT GAUTAM,2
AJIT SINGH MEHAT ,2
AL DAHLO ,2
ALAIN GOURD ,2
ALAIN HAUSSER ,2
ALAIN LAFONTAINE ,2
ALAN BERNSTEIN,2
ALAN CHAPPLE,2
ALAN FENTON ,2
ALAN LATOURELLE,2
ALAN STOCKDALE,2
ALAN STOCKDALE ,2
ALAN VIRTUE ,2
ALASTAIR ,2
ALASTAIR HUGH SIMESON,2
ALBAN,2
ALBERT DOUCET ,2
ALBERT LO ,2
ALBERT MURRAY PACE,2
ALBERT ROGER JOSEPH ST,2
ALBERTA AGREEMENT ,2
ALBERTA BUTTIMER ,2
ALBERTA IMMIGRATION PORTAL AGREEMENT ,2
ALBERTA MILK ORDER ,2
ALBERTA POWER LIMITED,2
ALBO RUDY ,2
ALCIDE BOUDREAULT,2
ALCOHOL AND DRUG TREATMENT AND,2
ALDC,2
ALEC ,2
ALERT ,2
ALERT BAY INDIAN RESERVE ,2
ALEXANDER FIRST,2
ALEXANDER INDIAN RESERVE ,2
ALEXANDER KYLE STUART,2
ALEXANDER KYLE STUART ,2
ALEXANDRA ,2
ALEXANDRE LÉVÊQUE ,2
ALEXIS INDIAN BAND ,2
ALEXIS INDIAN RESERVE NO,2
ALEXIS SINGER,2
ALFONSO GAGLIANO ,2
ALFRED ERNEST PALLISTER ,2
ALGOMA CENTRAL RAILWAY INC,2
ALICE BELLE ,2
ALICE DESJARDINS,2
ALICE HANSON,2
ALINE SOUCY ,2
ALISA ,2
ALISON SCOTT ,2
ALISTER SMITH ,2
ALLAN AMEY ,2
ALLAN BRYDEN,2
ALLAN DUNCAN ROWE ,2
ALLAN RICHARD LUCK,2
ALLEN DOUGLAS ,2
ALLEN JOHN GOUDIE,2
ALLIANCE PIPELINE LTD,2
ALLIED FORCE,2
ALLIED FORCE ,2
ALLISTER ,2
ALLYCE ,2
ALPINE ,2
ALTAGAS SUFFIELD PIPELINE INC,2
ALVIN ,2
AMALGAMATION ,2
AMALGAMATIONS AND WINDINGS,2
AMATEUR SPORT,2
AMBASSADOR ,2
AMC ,2
AMEND ,2
AMENDING,2
AMENDING THE CONVENTION ,2
AMENDMENT NO,2
AMENDMENT OF ,2
AMERICA ,2
AMERICAN CONVENTION ON THE GRANTING OF,2
AMERICAN FREE TRADE AGREEMENT ,2
AMERICAN INVESTMENT CORPORATION,2
AMF TECHNOTRANSPORT INC,2
AMI ,2
AMMONIUM,2
AMMUNITION AND PROJECTILES AS PROHIBITED OR RESTRICTED ,2
AMOCO CANADA PETROLEUM,2
AMOS,2
AN ACT TO AMEND ,2
AN ACT TO AMEND THE CANADA PENSION PLAN AND THE OLD AGE SECURITY ACT,2
AN ACT TO AMEND THE LAW GOVERNING FINANCIAL INSTITUTIONS AND TO PROVIDE FOR RELATED AND CONSEQUENTIAL MATTERS,2
AND CERTAIN OTHER FISHERIES REGULATIONS ,2
AND IV ,2
AND MARKET DEVELOPMENT ,2
AND OKEMASIS INDIAN RESERVE,2
AND PARAGRAPH,2
AND TERRORIST FINANCING ADMINISTRATIVE MONETARY PENALTIES REGULATIONS ,2
AND TURKMENISTAN,2
AND VI,2
ANDORRA,2
ANDRÉ BACHAND,2
ANDRÉ BEAUDET ,2
ANDRÉ BRAULT ,2
ANDRÉ BROUSSEAU ,2
ANDRÉ GERVAIS,2
ANDRÉ GRAVEL ,2
ANDRÉ JUNEAU ,2
ANDRÉ MARIN,2
ANDRÉ PICHÉ ,2
ANDRÉ POISSON ,2
ANDRÉ ROCHON,2
ANDRÉ ROY ,2
ANDRÉE ,2
ANDRÉE MARIER,2
ANDREI SULZENKO,2
ANDREW CARDOZO,2
ANDREW CHATWOOD,2
ANDREW DIGBY ,2
ANDREW JAMES JOHNSTON ,2
ANDREW TREUSCH ,2
ANDREW WILLIAMS,2
ANGELA BOGDAN ,2
ANGELA TU WEISSENBERGER ,2
ANGELO VINCENT AIELLO,2
ANGUS ANSELM ,2
ANIL WIRASEKARA ,2
ANIMAL DISEASE AND PROTECTION REGULATIONS ,2
ANIMBIIGOO ZAAGI,2
ANITA CÔTÉ,2
ANITA FUOCO BOSCARIOL,2
ANITA FUOCO BOSCARIOL ,2
ANITA HOPFAUF ,2
ANITA NEVILLE ,2
ANN HALENE ATAMANUK,2
ANN MARIE ,2
ANN MENDES ,2
ANN SACCO,2
ANNA BRYCHCY ,2
ANNA MARGARET MALLIN,2
ANNA MARIA SILVESTRI CORRIVEAU,2
ANNA PORTER ,2
ANNA TERRANA,2
ANNE BENDENA,2
ANNE CATHERINE WIGHTMAN ,2
ANNE CHONG HILL,2
ANNE ELIZABETH FRY,2
ANNE JOYNT ,2
ANNE LIPPERT,2
ANNE LOUISE WILCOX ,2
ANNE MARIE BECKSTEAD,2
ANNE MARIE SMART ,2
ANNE MARIETTE THIBODEAU,2
ANNE MILLER ,2
ANNE SKUBA,2
ANNE SMITH,2
ANNE WARNER ,2
ANNIE LAFLEUR ,2
ANTARCTIC ENVIRONMENTAL PROTECTION REGULATIONS ,2
ANTHONY GAGE ,2
ANTHONY JOHN DALE ,2
ANTHONY MICHAEL ANNUNZIATA ,2
ANTHONY WILFRED JAMES WHITFORD ,2
ANTHRAX COMPENSATION TERMS AND CONDITIONS,2
ANTONIO ,2
ANTONOV ,2
ANVIL RANGE MINING CORPORATION ,2
APEC,2
APICULTEURS DU QUÉBEC ,2
APP,2
APPLIN ,2
APPOINTMENT OF ABORIGINAL PEOPLES EXCLUSION APPROVAL ORDER,2
APPOINTMENT OF CERTAIN EMPLOYEES OF THE CANADA COMMUNICATION GROUP TO THE,2
APPROPRIATE MINISTER ,2
APPROVING THE STATEMENTS ,2
AQUACULTURE DEVELOPMENT ,2
ARCHEAN ENERGY LTD,2
ARD,2
ARDLE ,2
ARDYTH WEBSTER BROTT,2
AREAS,2
ARGENTINE REPUBLIC,2
ARGENTINE REPUBLIC ,2
ARIEMMA ,2
ARIS BABIKIAN ,2
ARJUN AGGARWAL,2
ARKELL,2
ARLENE ANNE,2
ARLISS MILLER,2
ARMAND BRUN,2
ARMAND DESROCHES ,2
ARMED FORCES,2
ARMITAGE ,2
ARNOT,2
ARNOT ,2
ARRANGEMENT,2
ARSENAULT,2
ARTHUR GENDREAU,2
ARTHUR KAZUMI MIKI ,2
ARTHUR KROEGER,2
ARTHUR LEONARD ANDERSON,2
ARTHUR LUST ,2
ARTHUR MAJKUT,2
ARTHUR OLSON,2
ARTHUR ROBERT SAMPSON ,2
ARTHUR RONALD BONDAR ,2
ARTHUR WILLIAM ,2
ARTHUR YANCEY BENNETT,2
ARTICLE ,2
ARVIAT ,2
ASI KEYI NATURAL ENVIRONMENT PARK,2
ASP,2
ASS,2
ASSESSOR,2
ASSISTANCE PROGRAM,2
ASSISTANCE REGULATIONS ,2
ASSISTANT,2
ASSOCIATES FIRST CAPITAL CORPORATION,2
ASSOMPTION ,2
ASSURANCE DES CAISSES POPULAIRES ACADIENNES,2
ASTOUS,2
ASTRID MARIA WADE,2
ATAM UPPAL,2
ATCO ,2
ATHANASIOS ,2
ATS ,2
AUBERT,2
AUDREY FLORENCE SOJONKY,2
AUGUSTE CHOQUETTE,2
AURAY,2
AURORA,2
AURORE DESPRÉS,2
AUSTRIA ,2
AUTHORITY TO,2
AUTHORITY TO SELL DRUGS FEES REGULATIONS ,2
AUTHORIZATIONS AND DOCUMENTS ,2
AUTHORIZES,2
AUTHORIZING TRAVEL ,2
AUTOMOBILE OPERATING EXPENSE BENEFIT ,2
AVIATION ORGANIZATION ,2
AVIATION SERIES,2
AVIATION SERIES ,2
AVIT OUELLET ,2
AVOIDANCE OF,2
AVOIDANCE OF DOUBLE TAXATION AND THE PREVENTION OF FISCAL EVASION WITH RESPECT TO TAXES ON INCOME AND ON CAPITAL ,2
AVOIDANCE OF DOUBLE TAXATION WITH RESPECT TO TAXES ON INCOME AND ON CAPITAL,2
AWARD REGULATIONS ,2
AYAD ,2
AYMAR ,2
AYOUB ,2
AYRE ROWE,2
AYUB UL HASAN CHISHTI ,2
AZERBAIJAN,2
AZT,2
BABIN,2
BABINSKY,2
BABY WALKERS,2
BACHMANN ,2
BADOWSKI ,2
BAEHR,2
BAHAMAS,2
BAIN,2
BAIN ,2
BAKER,2
BAKER ,2
BAKER LAKE ,2
BAKES,2
BALANCED REFUGEE REFORM ACT,2
BALDWIN,2
BÂLE,2
BALL,2
BALL ,2
BANK ACT,2
BANK ACT ,2
BANK HOLDING COMPANY PROPOSAL REGULATIONS ,2
BANK OF SINGAPORE ,2
BANK RELATED PARTY TRANSACTIONS REGULATIONS ,2
BANKRUPTCY BRANCH ,2
BANKRUPTCY RULES ,2
BANKS ISLAND,2
BARBARA BERGER ,2
BARBARA BEVERLY MOFFAT,2
BARBARA BURLEY ,2
BARBARA DIAKOPOULOU,2
BARBARA GAY BJARNESON,2
BARBARA JANE BENNETT,2
BARBARA KANE,2
BARBARA LAURA JOHNSTONE,2
BARBARA LOUISE HODGINS,2
BARBARA NKOALA ,2
BARBARA RICHARDSON ,2
BARBARA SCOTT,2
BARBARA SLATER ,2
BARLOW ,2
BARONE ,2
BARRIE ,2
BARRIE FORD ,2
BARRINGTON REID,2
BARROW,2
BARRY DAVID BARNES ,2
BARRY DEAN ,2
BARRY KYLE ,2
BARRY TURNBULL,2
BARRY TURNER,2
BARTOLO,2
BASE GRADE ,2
BASIL RENNIE HAYLOCK ,2
BASILE INDIAN RESERVE ,2
BASILE INDIAN RESERVE NO,2
BASLE,2
BATCHELOR,2
BATCHEWANA FIRST NATION BAND ,2
BATEMAN,2
BATHURST BOARD OF TRADE,2
BATHURST ELECTORAL BOUNDARIES COMMISSION,2
BATHURST ISLAND,2
BAXTER ,2
BAY,2
BC RAIL LTD,2
BDO DUNWOODY LLP ,2
BEAMISH,2
BEAMISH ,2
BEAN ,2
BEATRICE ANN STAPLEFORD,2
BEAUCHESNE,2
BEAUCHESNE ,2
BEAUPRÉ,2
BEAVERLODGE,2
BECCAREA ,2
BECK,2
BEEF CARCASS GRADING REGULATIONS ,2
BEER,2
BEGLEY,2
BEL ,2
BELARUS,2
BELCH,2
BÉLISLE,2
BELKE,2
BELL CANADA,2
BELL CANADA ,2
BELLAMY,2
BELLEDUNE,2
BELLEGARDE,2
BELLIVEAU,2
BELUGA PROTECTION REGULATIONS ,2
BEN KOVIC,2
BENJAMIN,2
BENJAMIN AYORECH,2
BENNO FRIESEN,2
BENOIT ,2
BENOÎT ARIAL ,2
BENOÎT BOUCHARD,2
BENTAZON,2
BENZODIAZEPINES AND OTHER TARGETED SUBSTANCES REGULATIONS ,2
BERGERON,2
BERGMAN ,2
BERNADETTE SWAN,2
BERNARD,2
BERNARD BLAISE CATHCART ,2
BERNARD CLAYMAN,2
BERNARD COLAS ,2
BERNARD GINGUES,2
BERNARD KALVIN,2
BERNARD MICHEL PRIGENT ,2
BERNARD PAQUET,2
BERNARD PAQUET ,2
BERNARD SHAPIRO,2
BERNARD SIVAK ,2
BERNARD THOMAS ,2
BERNICE MARY RADE,2
BERNIER ,2
BERTELSMANN PUBLISHING GROUP,2
BERTHA WILSON,2
BERTO VOLPENTESTA ,2
BERTRAND,2
BÉRUBÉ,2
BÉRUBÉ    ,2
BERYL GAFFNEY,2
BERYL JEAN CUSWORTH ,2
BETTIANNE MATHESON,2
BETTY AINSLIE ,2
BETTY ANN AUCOIN,2
BETTY ELAINE CLEMENTS ,2
BETTY LOUISE SOMERVILLE,2
BETTY PRISCILLA THOMAS ,2
BEV,2
BEVERIDGE,2
BEVERLEY CLARKE ,2
BEVERLY GAIL DEGROOT ,2
BEZANSON,2
BHAGWANT ,2
BHUPINDER ,2
BHUPINDER SINGH MAHAL ,2
BIELBY ,2
BIG GRASSY BAND,2
BIG GRASSY BAND ,2
BILATERAL IMPLEMENTATION AGREEMENT ON AGRICULTURAL AND AGRI,2
BINDU NARULA ,2
BINGWI NEYAASHI ANISHINAABEK ,2
BINKS,2
BIOLOGICAL DIVERSITY,2
BIRD,2
BISAILLON ,2
BLACHFORD,2
BLACK BEAR ,2
BLACKSTONE,2
BLAINVILLE,2
BLAKE,2
BLAKE FRANCIS KINAHAN ,2
BLANCO,2
BLOIS,2
BLOIS ,2
BLUE WATER BRIDGE AUTHORITY,2
BLUENOSE,2
BNY,2
BOARDS OF REFEREES ,2
BOB HAMILTON,2
BOB HAND,2
BOB HAND ,2
BOB HOLT,2
BOB LYSTER,2
BOB VERGETTE ,2
BOB WINSOR ,2
BOBBIE ANN WALKER,2
BOCOCK ,2
BOEHNER,2
BOISVERT ,2
BOLAND ,2
BOLSTER AND SIDEFRAME REMISSION ORDER ,2
BOLTON,2
BONAPARTE,2
BOND,2
BONITA ,2
BONNIE,2
BONNIE DUPONT ,2
BONNIE LYNN HATFIELD ,2
BONNIE STAPLES,2
BOOK IMPORTATION REGULATIONS ,2
BOOK MAIL REGULATIONS,2
BORDEN,2
BORDER MARITIME LAW ENFORCEMENT OPERATIONS ,2
BORDEVIK,2
BORNE SURFACE COATINGS ,2
BOSNIA,2
BOTTOS,2
BOUCHER,2
BOUCHER         ,2
BOUCK,2
BOUGOUMOU,2
BOULIANNE,2
BOULIANNE ,2
BOUSFIELD,2
BOUSFIELD ,2
BOUTET,2
BOUTHILLIER,2
BOUTILIER,2
BOVINE SPONGIFORM ENCEPHALOPATHY ,2
BOWIE,2
BOWMAN ,2
BOYD ,2
BOZAK ,2
BRADFORD ,2
BRADLEY FARQUHAR ,2
BRADLEY MORRIS CALDWELL ,2
BRAITER,2
BRAKE SYSTEMS,2
BRANCH,2
BRANTFORD,2
BRAZIL ,2
BRENDA LEE WEESE ,2
BRENDA MARGERY BROWN,2
BRENDA STEHELIN ,2
BRENDAN JOHN PADDICK ,2
BRENNER,2
BRIAN CHARLES DUCHARME,2
BRIAN CHARLES DUCHARME ,2
BRIAN COWAN,2
BRIAN DON KETCHESON ,2
BRIAN JOSEPH VILLENEUVE ,2
BRIAN KARL MAROTTA,2
BRIAN NORMAN CURRAH ,2
BRIAN OAK ,2
BRIAN STECK,2
BRIAN TITUS ,2
BRIDGE ,2
BRIGADIER,2
BRISSON,2
BRITE FOODS CO,2
BRITISH COLUMBIA CROP,2
BRITISH COLUMBIA HYDRO AND POWER AUTHORITY ,2
BRITISH COLUMBIA TREATY COMMISSIONERS,2
BRITISH PREFERENTIAL TARIFF DIRECT SHIPMENT WITHOUT,2
BRITTEN ,2
BROADCASTING ACT,2
BROKENHEAD OJIBWAY NATION BAND,2
BRONSON ,2
BROOKS ARM,2
BROWN BROTHERS HARRIMAN ,2
BRUCE CHAPMAN ,2
BRUCE DURNO,2
BRUCE EDWARD GEORGE FAULKNER ,2
BRUCE JUTZI ,2
BRUCE LA ROCHELLE ,2
BRUCE LEVY ,2
BRUCE MELVIN HOOD,2
BRUCE MELVIN HOOD ,2
BRUCE OUTHOUSE,2
BRUCE PHILLIPS,2
BRUCE WALTER RICHARDS ,2
BRUNEAU,2
BRUNEAU ,2
BRUNELLE,2
BRUNET,2
BRUNO HAMEL,2
BRUSSELS,2
BRUXELLES,2
BRYANT ,2
BRYSON,2
BUD,2
BUD CULLEN,2
BUDACI ,2
BUDGET AND ECONOMIC STATEMENT IMPLEMENTATION ACT,2
BUDGET MEASURES,2
BUFFALO POINT INDIAN RESERVE NO,2
BUILDING,2
BUISSON,2
BURCHILL,2
BUREAU ,2
